epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.16,0.83989,5.56347,0.89565,0.00167,0.33962,0.26663,0.23757,0.71268,6.71452,0.82813,0.00018,0.00018,0.00018
2,572.431,0.67317,3.68108,0.85368,0.00389,0.79245,0.46318,0.33862,0.67142,6.04779,0.82019,0.000376238,0.000376238,0.000376238
3,837.844,0.66442,2.65503,0.83132,0.0013,0.26415,0.265,0.23311,0.56452,5.93507,0.81122,0.000568516,0.000568516,0.000568516
4,1087.3,0.67713,2.6285,0.83858,0.00167,0.33962,0.33447,0.28289,0.66247,5.81805,0.81979,0.000756834,0.000756834,0.000756834
5,1344.43,0.67966,2.42676,0.84944,1,0.10635,0.31689,0.26613,0.65722,6.34793,0.84852,0.000941192,0.000941192,0.000941192
6,1596.62,0.7084,2.36838,0.86543,1,0.23561,0.86994,0.67533,0.67041,5.46097,0.85291,0.00112159,0.00112159,0.00112159
7,1852.99,0.6664,2.12703,0.86142,1,0.17091,0.8114,0.63406,0.65399,4.78601,0.8512,0.00129803,0.00129803,0.00129803
8,2104.03,0.67704,1.99231,0.85754,0.81534,0.25015,0.86833,0.71853,0.66442,4.10778,0.86343,0.00147051,0.00147051,0.00147051
9,2357.82,0.63191,1.71419,0.85508,0.96865,0.18868,0.25281,0.22319,0.62825,4.11662,0.88857,0.00163902,0.00163902,0.00163902
10,2605.8,0.67195,1.91949,0.88065,0.9261,0.70944,0.86562,0.72317,0.52759,3.78135,0.86428,0.00180358,0.00180358,0.00180358
11,2855.38,0.60877,1.69365,0.85998,0.9806,0.95371,0.9907,0.84467,0.52146,2.97448,0.88421,0.001802,0.001802,0.001802
12,3111.15,0.59439,1.30815,0.86226,0.99411,1,0.995,0.85042,0.52165,2.36436,0.88938,0.0017822,0.0017822,0.0017822
13,3364.27,0.60126,1.40829,0.85192,0.9566,1,0.99091,0.86862,0.57267,2.11012,0.88443,0.0017624,0.0017624,0.0017624
14,3605.32,0.6102,1.4828,0.88926,0.62449,0.98113,0.70422,0.61372,0.58223,2.37159,0.87614,0.0017426,0.0017426,0.0017426
15,3845.07,0.61258,1.15978,0.87463,0.84375,1,0.9415,0.7986,0.65603,2.05583,0.88731,0.0017228,0.0017228,0.0017228
16,4080.48,0.62167,1.18108,0.88754,0.99768,1,0.995,0.86955,0.54798,1.4972,0.88621,0.001703,0.001703,0.001703
17,4316.64,0.57828,1.18002,0.8564,1,0.99929,0.995,0.87252,0.55862,1.41321,0.85696,0.0016832,0.0016832,0.0016832
18,4557,0.54136,1.09183,0.85243,0.99787,0.98113,0.9943,0.88453,0.51014,1.35516,0.86789,0.0016634,0.0016634,0.0016634
19,4805.76,0.51769,0.95478,0.83587,1,0.98071,0.99446,0.89427,0.46391,1.26885,0.8531,0.0016436,0.0016436,0.0016436
20,5053.22,0.53603,0.9892,0.84933,0.98145,0.9982,0.99481,0.86435,0.53775,1.11209,0.85347,0.0016238,0.0016238,0.0016238
21,5297.65,0.52763,0.86978,0.85285,1,0.99965,0.995,0.87925,0.502,1.12879,0.85063,0.001604,0.001604,0.001604
22,5535.76,0.54805,0.88842,0.85191,0.72652,0.95241,0.81277,0.70549,0.47011,3.26122,0.85032,0.0015842,0.0015842,0.0015842
23,5772.84,0.5207,0.80231,0.85006,0.72611,0.79245,0.86466,0.7785,0.46627,5.19406,0.84763,0.0015644,0.0015644,0.0015644
24,6011.69,0.54473,0.78156,0.84115,0.97583,0.92453,0.95246,0.86094,0.58781,1.20983,0.85244,0.0015446,0.0015446,0.0015446
25,6249.22,0.54738,0.78714,0.86045,0.97831,0.85124,0.93863,0.84622,0.47708,1.13551,0.84927,0.0015248,0.0015248,0.0015248
26,6493.21,0.53441,0.77603,0.8315,0.99925,0.84906,0.95681,0.85735,0.43357,0.96221,0.83799,0.001505,0.001505,0.001505
27,6734.47,0.52868,0.69044,0.86717,1,0.89999,0.96855,0.84859,0.59509,0.96936,0.87367,0.0014852,0.0014852,0.0014852
28,6973.45,0.50186,0.63478,0.82191,0.98101,0.97482,0.99371,0.91419,0.41668,0.8179,0.83397,0.0014654,0.0014654,0.0014654
29,7215.52,0.49239,0.65054,0.8092,0.99873,0.96226,0.99361,0.90276,0.50113,0.82347,0.84019,0.0014456,0.0014456,0.0014456
30,7456.12,0.51613,0.65753,0.84617,0.99939,1,0.995,0.85745,0.57052,0.7764,0.84841,0.0014258,0.0014258,0.0014258
31,7697.06,0.50347,0.62181,0.82489,1,0.9996,0.995,0.90424,0.38781,0.67687,0.82972,0.001406,0.001406,0.001406
32,7934.78,0.50502,0.60904,0.85104,0.99944,1,0.995,0.91161,0.46843,0.63965,0.83869,0.0013862,0.0013862,0.0013862
33,8173.52,0.49013,0.60666,0.83876,0.99984,1,0.995,0.89031,0.46086,0.63127,0.84173,0.0013664,0.0013664,0.0013664
34,8410.84,0.50269,0.56682,0.82648,0.99875,1,0.995,0.90583,0.51562,0.64344,0.84501,0.0013466,0.0013466,0.0013466
35,8644.23,0.5007,0.54416,0.84144,1,0.99736,0.995,0.91192,0.45973,0.62502,0.83912,0.0013268,0.0013268,0.0013268
36,8884.34,0.47356,0.53728,0.83296,0.99763,1,0.995,0.88609,0.53253,0.664,0.83985,0.001307,0.001307,0.001307
37,9126.78,0.50017,0.53121,0.82984,0.99713,1,0.995,0.89951,0.48698,0.57308,0.84184,0.0012872,0.0012872,0.0012872
38,9365.56,0.4454,0.5145,0.82203,1,0.99816,0.995,0.91289,0.48013,0.55723,0.84823,0.0012674,0.0012674,0.0012674
39,9606.92,0.4699,0.5259,0.82846,1,0.99891,0.995,0.91869,0.37961,0.54086,0.83904,0.0012476,0.0012476,0.0012476
40,9842.49,0.45717,0.49035,0.82375,0.99824,1,0.995,0.94107,0.38232,0.53876,0.82648,0.0012278,0.0012278,0.0012278
41,10086.9,0.43898,0.48715,0.8169,1,0.99951,0.995,0.94348,0.38544,0.54707,0.82841,0.001208,0.001208,0.001208
42,10327.7,0.42339,0.46528,0.81219,0.99872,1,0.995,0.93861,0.383,0.53037,0.83055,0.0011882,0.0011882,0.0011882
43,10570.6,0.45548,0.47366,0.83053,0.9988,1,0.995,0.87543,0.55658,0.54528,0.84313,0.0011684,0.0011684,0.0011684
44,10813,0.45716,0.49147,0.83343,1,0.99991,0.995,0.91281,0.42403,0.51689,0.82995,0.0011486,0.0011486,0.0011486
45,11085.6,0.44689,0.45725,0.81176,0.999,1,0.995,0.88926,0.57207,0.50681,0.84878,0.0011288,0.0011288,0.0011288
46,11358.4,0.41532,0.42911,0.8213,0.99871,1,0.995,0.92627,0.38761,0.46313,0.82662,0.001109,0.001109,0.001109
47,11682.2,0.44602,0.44221,0.81641,0.99924,1,0.995,0.90992,0.46266,0.47964,0.83423,0.0010892,0.0010892,0.0010892
48,11985.1,0.45779,0.426,0.80392,0.99859,1,0.995,0.9114,0.35809,0.47496,0.82966,0.0010694,0.0010694,0.0010694
49,12279,0.44586,0.4463,0.83868,0.99871,1,0.995,0.89944,0.39874,0.48911,0.84221,0.0010496,0.0010496,0.0010496
50,12577.9,0.40448,0.42334,0.8226,0.99858,1,0.995,0.9162,0.39973,0.44188,0.83751,0.0010298,0.0010298,0.0010298
51,12873.9,0.41609,0.42809,0.81737,0.99889,1,0.995,0.922,0.40878,0.4442,0.82929,0.00101,0.00101,0.00101
52,13136.3,0.44329,0.42244,0.83217,0.99884,1,0.995,0.90855,0.38886,0.44362,0.82857,0.0009902,0.0009902,0.0009902
53,13396.2,0.42377,0.42022,0.81125,0.99888,1,0.995,0.93261,0.37761,0.42092,0.82942,0.0009704,0.0009704,0.0009704
54,13654.9,0.39892,0.4059,0.82361,0.99881,1,0.995,0.92221,0.39796,0.4348,0.82561,0.0009506,0.0009506,0.0009506
55,13905.7,0.42683,0.40283,0.82185,0.99896,1,0.995,0.92304,0.35045,0.41953,0.82205,0.0009308,0.0009308,0.0009308
56,14157.4,0.40221,0.39454,0.81283,0.99891,1,0.995,0.92343,0.4441,0.443,0.83255,0.000911,0.000911,0.000911
